tag_header,tag_para,tag_formatting,word_count,interacting_span_tag,relative_x_coord,relative_y_coord,relative_listings,relative_hyperlinks,tag_img,src_img_interaction,red_flag_class,tag_table,tag_sup,tag_sup_child,red_flag_id,relative_table_elements,height_width_diff,label
NO,NO,NO,2,NO,0.998716045,0.040965727,0,0,NO,NO,NO,NO,NO,NO,NO,0,-127.8666534,0
NO,NO,NO,2,NO,0.998716045,0.041633042,0,0,NO,NO,NO,NO,NO,NO,NO,0,-127.8666534,0
NO,NO,NO,10,NO,0.896918542,0.042485722,0.7,0,NO,NO,NO,NO,NO,NO,NO,0.2,-127.0500183,0
NO,NO,NO,2,NO,0.896918542,0.042485722,0,0,NO,NO,NO,NO,NO,NO,NO,0,24.29998779,0
NO,NO,NO,8,NO,0.997798951,0.042485722,0.875,0,NO,NO,NO,NO,NO,NO,NO,0,-16.96665955,0
NO,NO,NO,8,NO,0.998716045,0.042522795,0.875,0,NO,NO,NO,NO,NO,NO,NO,0,-16.96665955,0
NO,NO,NO,8,NO,0.998716045,0.042522795,0.875,0,NO,NO,NO,NO,NO,NO,NO,0,-16.96665955,0
NO,NO,NO,2,NO,0.998716045,0.042522795,0,0,NO,NO,NO,NO,NO,NO,NO,0,-127.8666687,0
NO,NO,NO,1,NO,0.998716045,0.04319011,0,0,NO,NO,NO,NO,NO,NO,NO,0,-127.8666534,0
NO,NO,NO,1,NO,0.998716045,0.043894498,0,0,NO,NO,NO,NO,NO,NO,NO,0,-127.8666534,0
NO,NO,NO,1,NO,0.998716045,0.044561813,0,0,NO,NO,NO,NO,NO,NO,NO,0,-127.8666534,0
NO,NO,NO,1,NO,0.998716045,0.045266202,0,0,NO,NO,NO,NO,NO,NO,NO,0,-127.8666687,0
NO,NO,NO,1,NO,0.998716045,0.045933517,0,0,NO,NO,NO,NO,NO,NO,NO,0,-127.8666534,0
NO,NO,NO,1,NO,0.998716045,0.046637905,0,0,NO,NO,NO,NO,NO,NO,NO,0,-127.8666534,0
NO,NO,NO,3,NO,0.896918542,0.047453512,0,0,NO,NO,NO,NO,NO,NO,NO,0.666666667,-237.9500275,0
NO,NO,NO,2,NO,0.896918542,0.047453512,0,0,NO,NO,NO,NO,NO,NO,NO,0,-86.60002136,0
NO,NO,NO,2,NO,0.997798951,0.047453512,0,0,NO,NO,NO,NO,NO,NO,NO,0,-127.8666687,0
NO,NO,NO,12,NO,0.896918542,0.048343265,0.416666667,0,NO,NO,NO,NO,NO,NO,NO,0.166666667,-164.0166779,0
NO,NO,NO,2,NO,0.896918542,0.048343265,0,0,NO,NO,NO,NO,NO,NO,NO,0,-12.66667175,0
NO,NO,NO,1,NO,0.897835637,0.049158872,0,0,NO,NO,YES,NO,NO,NO,NO,0,-55.5,0
NO,NO,NO,10,NO,0.997798951,0.048343265,0.5,0,NO,NO,NO,NO,NO,NO,NO,0,-53.93331909,0
NO,NO,NO,10,NO,0.998716045,0.048380338,0.5,0,NO,NO,NO,NO,NO,NO,NO,0,-53.93331909,0
NO,NO,NO,10,NO,0.998716045,0.048380338,0.5,0,NO,NO,NO,NO,NO,NO,NO,0,-53.93331909,0
NO,NO,NO,2,NO,0.998716045,0.048380338,0,0,NO,NO,NO,NO,NO,NO,NO,0,-127.8666534,0
NO,NO,NO,2,NO,0.998716045,0.049047653,0,0,NO,NO,NO,NO,NO,NO,NO,0,-127.8666534,0
NO,NO,NO,2,NO,0.998716045,0.049752041,0,0,NO,NO,NO,NO,NO,NO,NO,0,-127.8666534,0
NO,NO,NO,2,NO,0.998716045,0.050419356,0,0,NO,NO,NO,NO,NO,NO,NO,0,-127.8666687,0
NO,NO,NO,2,NO,0.998716045,0.051123744,0,0,NO,NO,NO,NO,NO,NO,NO,0,-127.8666534,0
NO,NO,NO,4,NO,0.896918542,0.051939352,0,0.25,NO,NO,NO,NO,NO,NO,NO,0.5,-219.4666748,0
NO,NO,NO,1,NO,0.896918542,0.051939352,0,0,NO,NO,NO,NO,NO,NO,NO,0,-68.1166687,0
NO,NO,NO,4,NO,0.997798951,0.051939352,0,0.25,NO,NO,NO,NO,NO,NO,NO,0,-109.383316,0
NO,NO,NO,4,NO,0.998716045,0.052087644,0,0,NO,NO,NO,NO,NO,NO,NO,0,-97.46665955,0
NO,NO,NO,1,NO,0.896918542,0.05349642,0,0,NO,NO,NO,NO,NO,NO,NO,1,-233.7833557,0
NO,NO,NO,1,NO,0.896918542,0.05349642,0,0,NO,NO,NO,NO,NO,NO,NO,0,-233.7833557,0
NO,NO,NO,2,NO,0.896918542,0.054534466,0,0.5,NO,NO,NO,NO,NO,NO,NO,1,-237.9500122,0
NO,NO,NO,2,NO,0.896918542,0.054534466,0,0,NO,NO,NO,NO,NO,NO,NO,0,-86.6000061,0
NO,NO,NO,1,NO,0.997798951,0.054534466,0,1,NO,NO,NO,NO,NO,NO,NO,0,-127.8666534,0
NO,NO,NO,1,NO,0.998716045,0.054645685,0,0,NO,NO,NO,NO,NO,NO,NO,0,-13.09999084,0
NO,NO,NO,3,NO,0.896918542,0.055387146,0,0.666666667,NO,NO,NO,NO,NO,NO,NO,0.666666667,-237.9500275,0
NO,NO,NO,2,NO,0.896918542,0.055387146,0,0,NO,NO,NO,NO,NO,NO,NO,0,-86.60002136,0
NO,NO,NO,2,NO,0.997798951,0.055387146,0,1,NO,NO,NO,NO,NO,NO,NO,0,-127.8666687,0
NO,NO,NO,1,NO,0.998716045,0.055535438,0,0,NO,NO,NO,NO,NO,NO,NO,0,-19.93333435,0
NO,NO,NO,1,NO,1.032648546,0.055535438,0,0,NO,NO,NO,NO,NO,NO,NO,0,-16.53334045,0
NO,NO,NO,4,NO,0.896918542,0.056276899,0,0.25,NO,NO,NO,NO,NO,NO,NO,0.5,-237.9500122,0
NO,NO,NO,2,NO,0.896918542,0.056276899,0,0,NO,NO,NO,NO,NO,NO,NO,0,-86.6000061,0
NO,NO,NO,3,NO,0.997798951,0.056276899,0,0.333333333,NO,NO,NO,NO,NO,NO,NO,0,-127.8666534,0
NO,NO,NO,2,NO,0.998716045,0.056388118,0,0,NO,NO,NO,NO,NO,NO,NO,0,-55.51664734,0
NO,NO,NO,6,NO,0.896918542,0.05712958,0,0,NO,NO,NO,NO,NO,NO,NO,0.333333333,-219.4666748,0
NO,NO,NO,2,NO,0.896918542,0.05712958,0,0,NO,NO,NO,NO,NO,NO,NO,0,-68.1166687,0
NO,NO,NO,5,NO,0.997798951,0.05712958,0,0,NO,NO,NO,NO,NO,NO,NO,0,-109.383316,0
NO,NO,NO,1,NO,0,0,0,0,NO,NO,NO,NO,NO,NO,NO,0,0,0
NO,NO,NO,1,NO,0,0,0,0,NO,NO,NO,NO,NO,NO,NO,0,0,0
NO,NO,NO,0,NO,1.076669088,0.057166653,10,10,NO,NO,NO,NO,NO,NO,NO,100,18.4666748,0
NO,NO,NO,1,NO,0,0,0,0,NO,NO,NO,NO,NO,NO,NO,0,0,0
NO,NO,NO,1,NO,0,0,0,0,NO,NO,NO,NO,NO,NO,NO,0,0,0
NO,NO,NO,1,NO,0.896918542,0.058686648,0,0,NO,NO,NO,NO,NO,NO,NO,1,-233.7833557,0
NO,NO,NO,1,NO,0.896918542,0.058686648,0,0,NO,NO,NO,NO,NO,NO,NO,0,-233.7833557,0
NO,NO,NO,4,NO,0.896918542,0.059724693,0,0.5,NO,NO,NO,NO,NO,NO,NO,0.5,-219.4666748,0
NO,NO,NO,2,NO,0.896918542,0.059724693,0,0,NO,NO,NO,NO,NO,NO,NO,0,-68.1166687,0
NO,NO,NO,3,NO,0.997798951,0.059724693,0,0.666666667,NO,NO,NO,NO,NO,NO,NO,0,-109.383316,0
NO,NO,YES,1,NO,0.998716045,0.059835913,0,1,NO,NO,NO,NO,NO,NO,NO,0,-47.98332214,0
NO,NO,NO,1,NO,0.998716045,0.059835913,0,0,NO,NO,NO,NO,NO,NO,NO,0,-47.98332214,0
NO,NO,NO,0,NO,1.054658817,0.059761767,10,10,NO,NO,NO,NO,NO,NO,NO,100,18.4666748,0
NO,NO,YES,3,NO,0.998716045,0.060540301,0,0.333333333,NO,NO,NO,NO,NO,NO,NO,0,-81.5166626,0
NO,NO,NO,3,NO,0.998716045,0.060540301,0,0,NO,NO,NO,NO,NO,NO,NO,0,-81.5166626,0
NO,NO,NO,2,NO,0.896918542,0.061281762,0,0,NO,NO,NO,NO,NO,NO,NO,0.5,-233.7833557,0
NO,NO,NO,2,NO,0.896918542,0.061281762,0,0,NO,NO,NO,NO,NO,NO,NO,0,-233.7833557,0
NO,NO,NO,1,NO,0.896918542,0.062282734,0,1,NO,NO,NO,NO,NO,NO,NO,1,-237.9500122,0
NO,NO,NO,1,NO,0.896918542,0.062282734,0,1,NO,NO,NO,NO,NO,NO,NO,0,-237.9500122,0
NO,NO,NO,1,NO,0.988628004,0.062431027,0,0,NO,NO,NO,NO,NO,NO,NO,0,-43.65000916,0
NO,NO,NO,2,NO,0.896918542,0.063172488,0,0.5,NO,NO,NO,NO,NO,NO,NO,0.5,-237.9500275,0
NO,NO,NO,2,NO,0.896918542,0.063172488,0,0.5,NO,NO,NO,NO,NO,NO,NO,0,-237.9500275,0
NO,NO,NO,2,NO,0.961115166,0.063283707,0,0,NO,NO,NO,NO,NO,NO,NO,0,-103.4333496,0
NO,YES,NO,101,NO,0.184336019,0.009527775,0,0.108910891,NO,NO,NO,NO,NO,NO,NO,0,-929.5999756,1
NO,NO,YES,3,NO,0.184336019,0.009638995,0,0,NO,NO,NO,NO,NO,NO,NO,0,-99.09999084,1
NO,NO,YES,3,NO,0.184336019,0.009638995,0,0,NO,NO,NO,NO,NO,NO,NO,0,-99.09999084,1
NO,NO,NO,1,NO,0.381511363,0.009638995,0,0,NO,NO,NO,NO,NO,NO,NO,0,-29.1166687,1
NO,NO,NO,1,NO,0.426449,0.009638995,0,0,NO,NO,NO,NO,NO,NO,NO,0,-23.68333435,1
NO,NO,NO,2,NO,0.625458533,0.009638995,0,0,NO,NO,NO,NO,NO,NO,NO,0,-67,1
NO,NO,NO,3,NO,0.73000732,0.009638995,0,0,NO,NO,NO,NO,NO,NO,NO,0,-56.8500061,1
NO,NO,NO,1,NO,0.818965499,0.009638995,0,0,NO,NO,NO,NO,NO,NO,NO,0,-14.33332825,1
NO,NO,YES,6,NO,0.27971386,0.010454602,0,0.166666667,NO,NO,NO,NO,NO,NO,NO,0,-123.2333374,1
NO,NO,NO,6,NO,0.27971386,0.010454602,0,0,NO,NO,NO,NO,NO,NO,NO,0,-123.2333374,1
NO,NO,NO,4,NO,0.41452677,0.010454602,0,0,NO,NO,NO,NO,NO,NO,NO,0,-109.2333374,1
NO,NO,YES,4,NO,0.184336019,0.010454602,0,0.25,NO,NO,NO,NO,NO,NO,NO,0,-691.5333557,1
NO,NO,NO,4,NO,0.184336019,0.010454602,0,0,NO,NO,NO,NO,NO,NO,NO,0,-691.5333557,1
NO,NO,NO,1,NO,0.486060151,0.011307282,0,0,NO,NO,NO,NO,NO,NO,NO,0,-26.78334045,1
NO,NO,NO,2,NO,0.651137183,0.011307282,0,0,NO,NO,NO,NO,NO,NO,NO,0,-83.59999084,1
